#      TCP    DCTCP    PIFO    SPPIFO    XIFO
CS   832258.7952431588    646379.4422683637    211904.748103773    210094.19277671562    696465.4894583528    
DF   164629.1077221713    134091.17617262973    43397.60688711536    43465.64137315209    137074.5482680748    
EW   819355.1742517048    646099.1884494422    223940.90537648683    216736.47615483447    685061.2256177301    
GH   404339.95027948654    307863.61323032924    107374.08234839026    103025.60587409751    341376.0787098523    
MI   825922.7120373043    651644.4063860661    230865.42720239054    231631.53444843186    679940.1779348222    
QW   790431.8141838164    608221.8309090638    214001.27378822558    216818.84751219937    674415.5557165365    
RF   246019.40947649145    190564.1078224971    62807.079059583186    61448.531993070384    210316.08482568295    
RT   796439.1947874614    622133.8932138159    223041.66464246224    218205.63182251086    675655.2902038337    
SN   808188.8359354225    634878.781816299    217589.42498128916    214096.79906873446    684484.9573323542    
TV   835020.8745892573    657152.9190431584    224300.54107436558    228436.85403301855    691932.2144629331    
YT   806799.7383198565    636860.1537997394    228312.96854304316    226501.72157160006    687948.8473193629    
YU   808627.2096746893    631637.4967325857    226296.80995314132    220830.88230952897    679346.1567897276    
